iter	Logloss
0	0.6878474617
1	0.6818876894
2	0.6768912953
3	0.6719050939
4	0.6659450172
5	0.6605206793
6	0.6553550281
7	0.6505510047
8	0.6454105066
9	0.6403340456
10	0.6357110355
11	0.6310525447
12	0.6271468202
13	0.6231242154
14	0.6190731432
15	0.6147818052
16	0.6111688775
17	0.6072578998
18	0.6031086193
19	0.5990402408
20	0.5951307133
21	0.5919856982
22	0.5885796955
23	0.5849542891
24	0.5816394367
25	0.5776923094
26	0.5738571704
27	0.5709980112
28	0.5673875722
29	0.5641378748
30	0.5605661502
31	0.557165038
32	0.5541868167
33	0.5507588939
34	0.547735263
35	0.5450732773
36	0.5424109413
37	0.5397093843
38	0.5373280563
39	0.5349590395
40	0.5322487202
41	0.5297793347
42	0.5275801517
43	0.5249075497
44	0.5224286778
45	0.5202731988
46	0.5183101126
47	0.5165634785
48	0.5142971227
49	0.5117157349
50	0.5100695378
51	0.5081463572
52	0.5056837037
53	0.5038041552
54	0.5021777772
55	0.5002524999
56	0.4983243547
57	0.4967495727
58	0.4950793323
59	0.4932356977
60	0.4912988166
61	0.4899449115
62	0.4887982099
63	0.4871259945
64	0.4855530872
65	0.4839540758
66	0.4823183627
67	0.4804915654
68	0.4787743979
69	0.4773246799
70	0.4757088279
71	0.4742035147
72	0.4730463424
73	0.4720744461
74	0.4707465737
75	0.4690965335
76	0.4678154258
77	0.4671944992
78	0.4661918179
79	0.4646800097
80	0.4632284803
81	0.4618586333
82	0.4605221126
83	0.4591407767
84	0.4579404356
85	0.4566822078
86	0.4556795068
87	0.4548611599
88	0.4537844364
89	0.4526944849
90	0.4519841293
91	0.4509377958
92	0.4495730079
93	0.4487420744
94	0.4477464038
95	0.44660042
96	0.4454528564
97	0.4446773997
98	0.4437020635
99	0.4428424382
100	0.4419555815
101	0.4410709574
102	0.4398900696
103	0.4390955096
104	0.4384972578
105	0.4380949564
106	0.4372413452
107	0.4369121735
108	0.4360746413
109	0.435468682
110	0.434696256
111	0.4338186179
112	0.4331637577
113	0.4325584732
114	0.4319576611
115	0.4313639753
116	0.4305437612
117	0.429883756
118	0.4292023989
119	0.4286740008
120	0.4278983728
121	0.4270132573
122	0.4261978249
123	0.4253634958
124	0.4250127253
125	0.4243508214
126	0.4236295403
127	0.4232512972
128	0.422540341
129	0.4217975084
130	0.4209794972
131	0.4205925668
132	0.4202547076
133	0.4198994335
134	0.4191017601
135	0.4186870523
136	0.4181423981
137	0.4177191432
138	0.4170390661
139	0.416393851
