iter	Passed	Remaining
0	2	2141
1	4	2000
2	5	1870
3	7	1889
4	9	1905
5	11	1915
6	14	1993
7	16	2006
8	18	2009
9	20	1992
10	21	1977
11	23	1973
12	25	1964
13	27	1937
14	29	1965
15	32	1969
16	33	1942
17	35	1937
18	37	1936
19	39	1931
20	41	1928
21	42	1895
22	44	1898
23	47	1915
24	48	1910
25	50	1909
26	52	1904
27	54	1882
28	56	1880
29	58	1881
30	60	1885
31	62	1889
32	64	1887
33	66	1884
34	68	1882
35	70	1879
36	72	1877
37	74	1874
38	76	1873
39	78	1883
40	80	1883
41	82	1875
42	84	1873
43	86	1871
44	88	1867
45	89	1866
46	91	1852
47	93	1861
48	95	1859
49	97	1856
50	99	1853
51	101	1854
52	103	1852
53	105	1850
54	107	1851
55	110	1856
56	112	1854
57	113	1844
58	115	1842
59	117	1840
60	119	1839
61	120	1828
62	122	1818
63	124	1820
64	126	1826
65	128	1822
66	130	1820
67	132	1817
68	134	1815
69	136	1814
70	138	1811
71	141	1818
72	143	1817
73	145	1816
74	147	1814
75	149	1813
76	151	1811
77	152	1797
78	154	1795
79	156	1799
80	158	1798
81	160	1796
82	162	1793
83	164	1792
84	166	1790
85	168	1788
86	170	1785
87	172	1785
88	174	1783
89	176	1781
90	177	1773
91	179	1771
92	181	1768
93	183	1766
94	185	1764
95	187	1767
96	189	1768
97	191	1762
98	193	1760
99	195	1758
100	197	1755
101	199	1753
102	201	1751
103	203	1748
104	204	1745
105	206	1738
106	208	1736
107	209	1726
108	211	1724
109	212	1722
110	214	1721
111	216	1718
112	219	1719
113	220	1717
114	222	1714
115	224	1712
116	226	1710
117	228	1708
118	230	1706
119	232	1702
120	234	1700
121	236	1702
122	238	1700
123	240	1699
124	242	1697
125	244	1695
126	246	1694
127	247	1688
128	249	1687
129	252	1688
130	254	1686
131	256	1684
132	257	1677
133	259	1675
134	261	1673
135	262	1669
136	264	1668
137	267	1669
138	269	1667
139	271	1666
140	273	1665
141	275	1664
142	277	1664
143	278	1658
144	280	1654
145	283	1655
146	285	1654
147	287	1653
148	289	1651
149	290	1647
150	292	1645
151	294	1644
152	296	1643
153	299	1642
154	300	1640
155	302	1638
156	304	1636
157	306	1634
158	308	1630
159	310	1628
160	311	1622
161	313	1622
162	315	1622
163	318	1621
164	319	1619
165	321	1617
166	323	1615
167	325	1613
168	327	1612
169	330	1613
170	332	1611
171	334	1608
172	336	1606
173	338	1604
174	339	1602
175	341	1600
176	343	1598
177	346	1599
178	348	1597
179	350	1595
180	352	1593
181	353	1588
182	355	1586
183	357	1585
184	359	1583
185	361	1582
186	363	1581
187	365	1579
188	367	1577
189	369	1575
190	371	1573
191	373	1571
192	375	1570
193	378	1571
194	380	1570
195	382	1569
196	384	1566
197	386	1564
198	388	1562
199	390	1560
200	392	1559
201	394	1558
202	396	1556
203	398	1554
204	400	1552
205	402	1550
206	404	1548
207	406	1546
208	408	1546
209	410	1544
210	412	1543
211	414	1541
212	416	1538
213	418	1537
214	420	1535
215	422	1533
216	424	1531
217	426	1531
218	429	1530
219	431	1528
220	433	1526
221	435	1525
222	437	1523
223	438	1519
224	441	1520
225	443	1519
226	445	1518
227	447	1516
228	449	1514
229	451	1512
230	453	1510
231	456	1510
232	458	1509
233	460	1508
234	463	1507
235	465	1505
236	467	1504
237	469	1503
238	472	1503
239	474	1502
240	476	1501
241	478	1499
242	481	1498
243	483	1497
244	485	1495
245	487	1495
246	490	1494
247	492	1492
248	494	1491
249	496	1489
250	498	1487
251	500	1486
252	503	1485
253	505	1484
254	507	1482
255	509	1480
256	511	1479
257	513	1477
258	515	1476
259	518	1474
260	519	1471
261	521	1470
262	524	1468
263	525	1465
264	527	1464
265	530	1462
266	532	1461
267	535	1461
268	537	1459
269	539	1458
270	541	1456
271	543	1454
272	546	1454
273	548	1453
274	550	1452
275	552	1450
276	554	1448
277	557	1447
278	559	1445
279	561	1443
280	563	1441
281	565	1440
282	568	1439
283	570	1437
284	572	1435
285	574	1434
286	576	1432
287	578	1430
288	580	1428
289	582	1425
290	584	1423
291	586	1421
292	588	1419
293	590	1418
294	592	1416
295	594	1414
296	596	1412
297	599	1411
298	601	1409
299	603	1407
300	605	1405
301	607	1403
302	609	1401
303	611	1399
304	614	1399
305	615	1396
306	617	1394
307	619	1392
308	621	1390
309	623	1386
310	625	1384
311	627	1382
312	629	1381
313	631	1380
314	633	1378
315	636	1376
316	638	1375
317	640	1373
318	642	1371
319	646	1372
320	648	1371
321	650	1369
322	652	1368
323	654	1366
324	656	1364
325	659	1362
326	661	1362
327	663	1359
328	665	1358
329	667	1355
330	669	1354
331	672	1352
332	674	1350
333	677	1349
334	679	1348
335	681	1346
336	683	1344
337	684	1341
338	687	1339
339	689	1338
340	692	1337
341	694	1336
342	696	1334
343	699	1333
344	701	1331
345	703	1329
346	705	1327
347	708	1326
348	710	1324
349	711	1320
350	713	1319
351	715	1317
352	718	1316
353	720	1314
354	722	1312
355	724	1311
356	727	1309
357	729	1308
358	731	1306
359	734	1305
360	737	1306
361	740	1305
362	743	1305
363	746	1303
364	748	1301
365	750	1300
366	751	1296
367	753	1294
368	756	1292
369	758	1290
370	760	1289
371	763	1288
372	766	1288
373	770	1289
374	772	1287
375	774	1285
376	776	1283
377	778	1281
378	781	1279
379	782	1277
380	785	1275
381	787	1274
382	789	1272
383	792	1271
384	795	1271
385	798	1270
386	800	1268
387	803	1267
388	805	1265
389	808	1264
390	812	1265
391	817	1267
392	819	1266
393	822	1264
394	824	1263
395	828	1263
396	831	1262
397	833	1261
398	836	1260
399	839	1259
